Order ID,Order Date,Ship Date,Customer ID,Customer Name,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2019-1030,2019-07-30,2019-08-01,CUST001,Customer 1,Consumer,New York,NY,10030,East,P0011,Furniture,Bookcases,Product 31,175.0,1,0.0,17.5
CA-2019-1031,2019-08-06,2019-08-08,CUST002,Customer 2,Corporate,Los Angeles,CA,10031,West,P0012,Office Supplies,Paper,Product 32,187.5,2,0.1,18.75
CA-2019-1032,2019-08-13,2019-08-15,CUST003,Customer 3,Home Office,Chicago,IL,10032,Central,P0013,Technology,Phones,Product 33,200.0,3,0.2,-10.0
CA-2019-1033,2019-08-20,2019-08-22,CUST004,Customer 4,Consumer,Houston,TX,10033,South,P0014,Office Supplies,Binders,Product 34,212.5,4,0.0,21.25
CA-2019-1034,2019-08-27,2019-08-29,CUST005,Customer 5,Corporate,Phoenix,AZ,10034,West,P0015,Technology,Accessories,Product 35,225.0,5,0.05,22.5
CA-2019-1035,2019-09-03,2019-09-05,CUST006,Customer 6,Consumer,New York,NY,10035,East,P0016,Furniture,Bookcases,Product 36,237.5,1,0.0,23.75
CA-2019-1036,2019-09-10,2019-09-12,CUST007,Customer 7,Corporate,Los Angeles,CA,10036,West,P0017,Office Supplies,Paper,Product 37,250.0,2,0.1,25.0
CA-2019-1037,2019-09-17,2019-09-19,CUST008,Customer 8,Home Office,Chicago,IL,10037,Central,P0018,Technology,Phones,Product 38,262.5,3,0.2,-13.12
CA-2019-1038,2019-09-24,2019-09-26,CUST009,Customer 9,Consumer,Houston,TX,10038,South,P0019,Office Supplies,Binders,Product 39,275.0,4,0.0,27.5
CA-2019-1039,2019-10-01,2019-10-03,CUST010,Customer 10,Corporate,Phoenix,AZ,10039,West,P0020,Technology,Accessories,Product 40,287.5,5,0.05,28.75
CA-2019-1040,2019-10-08,2019-10-10,CUST011,Customer 11,Consumer,New York,NY,10040,East,P0001,Furniture,Bookcases,Product 41,50.0,1,0.0,5.0
CA-2019-1041,2019-10-15,2019-10-17,CUST012,Customer 12,Corporate,Los Angeles,CA,10041,West,P0002,Office Supplies,Paper,Product 42,62.5,2,0.1,6.25
CA-2019-1042,2019-10-22,2019-10-24,CUST013,Customer 13,Home Office,Chicago,IL,10042,Central,P0003,Technology,Phones,Product 43,75.0,3,0.2,-3.75
CA-2019-1043,2019-10-29,2019-10-31,CUST014,Customer 14,Consumer,Houston,TX,10043,South,P0004,Office Supplies,Binders,Product 44,87.5,4,0.0,8.75
CA-2019-1044,2019-11-05,2019-11-07,CUST015,Customer 15,Corporate,Phoenix,AZ,10044,West,P0005,Technology,Accessories,Product 45,100.0,5,0.05,10.0
CA-2019-1045,2019-11-12,2019-11-14,CUST016,Customer 16,Consumer,New York,NY,10045,East,P0006,Furniture,Bookcases,Product 46,112.5,1,0.0,11.25
CA-2019-1046,2019-11-19,2019-11-21,CUST017,Customer 17,Corporate,Los Angeles,CA,10046,West,P0007,Office Supplies,Paper,Product 47,125.0,2,0.1,12.5
CA-2019-1047,2019-11-26,2019-11-28,CUST018,Customer 18,Home Office,Chicago,IL,10047,Central,P0008,Technology,Phones,Product 48,137.5,3,0.2,-6.88
CA-2019-1048,2019-12-03,2019-12-05,CUST019,Customer 19,Consumer,Houston,TX,10048,South,P0009,Office Supplies,Binders,Product 49,150.0,4,0.0,15.0
CA-2019-1049,2019-12-10,2019-12-12,CUST020,Customer 20,Corporate,Phoenix,AZ,10049,West,P0010,Technology,Accessories,Product 50,162.5,5,0.05,16.25
CA-2019-1050,2019-12-17,2019-12-19,CUST021,Customer 21,Consumer,New York,NY,10050,East,P0011,Furniture,Bookcases,Product 1,175.0,1,0.0,17.5
CA-2019-1051,2019-12-24,2019-12-26,CUST022,Customer 22,Corporate,Los Angeles,CA,10051,West,P0012,Office Supplies,Paper,Product 2,187.5,2,0.1,18.75
CA-2019-1052,2019-12-31,2020-01-02,CUST023,Customer 23,Home Office,Chicago,IL,10052,Central,P0013,Technology,Phones,Product 3,200.0,3,0.2,-10.0
CA-2019-1053,2020-01-07,2020-01-09,CUST024,Customer 24,Consumer,Houston,TX,10053,South,P0014,Office Supplies,Binders,Product 4,212.5,4,0.0,21.25
CA-2019-1054,2020-01-14,2020-01-16,CUST025,Customer 25,Corporate,Phoenix,AZ,10054,West,P0015,Technology,Accessories,Product 5,225.0,5,0.05,22.5
CA-2019-1055,2020-01-21,2020-01-23,CUST026,Customer 26,Consumer,New York,NY,10055,East,P0016,Furniture,Bookcases,Product 6,237.5,1,0.0,23.75
CA-2019-1056,2020-01-28,2020-01-30,CUST027,Customer 27,Corporate,Los Angeles,CA,10056,West,P0017,Office Supplies,Paper,Product 7,250.0,2,0.1,25.0
CA-2019-1057,2020-02-04,2020-02-06,CUST028,Customer 28,Home Office,Chicago,IL,10057,Central,P0018,Technology,Phones,Product 8,262.5,3,0.2,-13.12
CA-2019-1058,2020-02-11,2020-02-13,CUST029,Customer 29,Consumer,Houston,TX,10058,South,P0019,Office Supplies,Binders,Product 9,275.0,4,0.0,27.5
CA-2019-1059,2020-02-18,2020-02-20,CUST030,Customer 30,Corporate,Phoenix,AZ,10059,West,P0020,Technology,Accessories,Product 10,287.5,5,0.05,28.75
CA-2019-1060,2020-02-25,2020-02-27,CUST001,Customer 1,Consumer,New York,NY,10060,East,P0001,Furniture,Bookcases,Product 11,50.0,1,0.0,5.0
CA-2019-1061,2020-03-03,2020-03-05,CUST002,Customer 2,Corporate,Los Angeles,CA,10061,West,P0002,Office Supplies,Paper,Product 12,62.5,2,0.1,6.25
CA-2019-1062,2020-03-10,2020-03-12,CUST003,Customer 3,Home Office,Chicago,IL,10062,Central,P0003,Technology,Phones,Product 13,75.0,3,0.2,-3.75
CA-2019-1063,2020-03-17,2020-03-19,CUST004,Customer 4,Consumer,Houston,TX,10063,South,P0004,Office Supplies,Binders,Product 14,87.5,4,0.0,8.75
CA-2019-1064,2020-03-24,2020-03-26,CUST005,Customer 5,Corporate,Phoenix,AZ,10064,West,P0005,Technology,Accessories,Product 15,100.0,5,0.05,10.0
CA-2019-1065,2020-03-31,2020-04-02,CUST006,Customer 6,Consumer,New York,NY,10065,East,P0006,Furniture,Bookcases,Product 16,112.5,1,0.0,11.25
CA-2019-1066,2020-04-07,2020-04-09,CUST007,Customer 7,Corporate,Los Angeles,CA,10066,West,P0007,Office Supplies,Paper,Product 17,125.0,2,0.1,12.5
CA-2019-1067,2020-04-14,2020-04-16,CUST008,Customer 8,Home Office,Chicago,IL,10067,Central,P0008,Technology,Phones,Product 18,137.5,3,0.2,-6.88
CA-2019-1068,2020-04-21,2020-04-23,CUST009,Customer 9,Consumer,Houston,TX,10068,South,P0009,Office Supplies,Binders,Product 19,150.0,4,0.0,15.0
CA-2019-1069,2020-04-28,2020-04-30,CUST010,Customer 10,Corporate,Phoenix,AZ,10069,West,P0010,Technology,Accessories,Product 20,162.5,5,0.05,16.25
CA-2019-1070,2020-05-05,2020-05-07,CUST011,Customer 11,Consumer,New York,NY,10070,East,P0011,Furniture,Bookcases,Product 21,175.0,1,0.0,17.5
CA-2019-1071,2020-05-12,2020-05-14,CUST012,Customer 12,Corporate,Los Angeles,CA,10071,West,P0012,Office Supplies,Paper,Product 22,187.5,2,0.1,18.75
CA-2019-1072,2020-05-19,2020-05-21,CUST013,Customer 13,Home Office,Chicago,IL,10072,Central,P0013,Technology,Phones,Product 23,200.0,3,0.2,-10.0
CA-2019-1073,2020-05-26,2020-05-28,CUST014,Customer 14,Consumer,Houston,TX,10073,South,P0014,Office Supplies,Binders,Product 24,212.5,4,0.0,21.25
CA-2019-1074,2020-06-02,2020-06-04,CUST015,Customer 15,Corporate,Phoenix,AZ,10074,West,P0015,Technology,Accessories,Product 25,225.0,5,0.05,22.5
CA-2019-1075,2020-06-09,2020-06-11,CUST016,Customer 16,Consumer,New York,NY,10075,East,P0016,Furniture,Bookcases,Product 26,237.5,1,0.0,23.75
CA-2019-1076,2020-06-16,2020-06-18,CUST017,Customer 17,Corporate,Los Angeles,CA,10076,West,P0017,Office Supplies,Paper,Product 27,250.0,2,0.1,25.0
CA-2019-1077,2020-06-23,2020-06-25,CUST018,Customer 18,Home Office,Chicago,IL,10077,Central,P0018,Technology,Phones,Product 28,262.5,3,0.2,-13.12
CA-2019-1078,2020-06-30,2020-07-02,CUST019,Customer 19,Consumer,Houston,TX,10078,South,P0019,Office Supplies,Binders,Product 29,275.0,4,0.0,27.5
CA-2019-1079,2020-07-07,2020-07-09,CUST020,Customer 20,Corporate,Phoenix,AZ,10079,West,P0020,Technology,Accessories,Product 30,287.5,5,0.05,28.75
CA-2019-1080,2020-07-14,2020-07-16,CUST021,Customer 21,Consumer,New York,NY,10080,East,P0001,Furniture,Bookcases,Product 31,50.0,1,0.0,5.0
CA-2019-1081,2020-07-21,2020-07-23,CUST022,Customer 22,Corporate,Los Angeles,CA,10081,West,P0002,Office Supplies,Paper,Product 32,62.5,2,0.1,6.25
CA-2019-1082,2020-07-28,2020-07-30,CUST023,Customer 23,Home Office,Chicago,IL,10082,Central,P0003,Technology,Phones,Product 33,75.0,3,0.2,-3.75
CA-2019-1083,2020-08-04,2020-08-06,CUST024,Customer 24,Consumer,Houston,TX,10083,South,P0004,Office Supplies,Binders,Product 34,87.5,4,0.0,8.75
CA-2019-1084,2020-08-11,2020-08-13,CUST025,Customer 25,Corporate,Phoenix,AZ,10084,West,P0005,Technology,Accessories,Product 35,100.0,5,0.05,10.0
CA-2019-1085,2020-08-18,2020-08-20,CUST026,Customer 26,Consumer,New York,NY,10085,East,P0006,Furniture,Bookcases,Product 36,112.5,1,0.0,11.25
CA-2019-1086,2020-08-25,2020-08-27,CUST027,Customer 27,Corporate,Los Angeles,CA,10086,West,P0007,Office Supplies,Paper,Product 37,125.0,2,0.1,12.5
CA-2019-1087,2020-09-01,2020-09-03,CUST028,Customer 28,Home Office,Chicago,IL,10087,Central,P0008,Technology,Phones,Product 38,137.5,3,0.2,-6.88
CA-2019-1088,2020-09-08,2020-09-10,CUST029,Customer 29,Consumer,Houston,TX,10088,South,P0009,Office Supplies,Binders,Product 39,150.0,4,0.0,15.0
CA-2019-1089,2020-09-15,2020-09-17,CUST030,Customer 30,Corporate,Phoenix,AZ,10089,West,P0010,Technology,Accessories,Product 40,162.5,5,0.05,16.25
CA-2019-1090,2020-09-22,2020-09-24,CUST001,Customer 1,Consumer,New York,NY,10090,East,P0011,Furniture,Bookcases,Product 41,175.0,1,0.0,17.5
CA-2019-1091,2020-09-29,2020-10-01,CUST002,Customer 2,Corporate,Los Angeles,CA,10091,West,P0012,Office Supplies,Paper,Product 42,187.5,2,0.1,18.75
CA-2019-1092,2020-10-06,2020-10-08,CUST003,Customer 3,Home Office,Chicago,IL,10092,Central,P0013,Technology,Phones,Product 43,200.0,3,0.2,-10.0
CA-2019-1093,2020-10-13,2020-10-15,CUST004,Customer 4,Consumer,Houston,TX,10093,South,P0014,Office Supplies,Binders,Product 44,212.5,4,0.0,21.25
CA-2019-1094,2020-10-20,2020-10-22,CUST005,Customer 5,Corporate,Phoenix,AZ,10094,West,P0015,Technology,Accessories,Product 45,225.0,5,0.05,22.5
CA-2019-1095,2020-10-27,2020-10-29,CUST006,Customer 6,Consumer,New York,NY,10095,East,P0016,Furniture,Bookcases,Product 46,237.5,1,0.0,23.75
CA-2019-1096,2020-11-03,2020-11-05,CUST007,Customer 7,Corporate,Los Angeles,CA,10096,West,P0017,Office Supplies,Paper,Product 47,250.0,2,0.1,25.0
CA-2019-1097,2020-11-10,2020-11-12,CUST008,Customer 8,Home Office,Chicago,IL,10097,Central,P0018,Technology,Phones,Product 48,262.5,3,0.2,-13.12
CA-2019-1098,2020-11-17,2020-11-19,CUST009,Customer 9,Consumer,Houston,TX,10098,South,P0019,Office Supplies,Binders,Product 49,275.0,4,0.0,27.5
CA-2019-1099,2020-11-24,2020-11-26,CUST010,Customer 10,Corporate,Phoenix,AZ,10099,West,P0020,Technology,Accessories,Product 50,287.5,5,0.05,28.75
